Text,Label
Not sexist but I really dislike women announcers!!,1
I can't even sit down and watch a period of women's hockey let alone a 3 hour class on it...#notsexist just not excitin…,1
I'm not sexist but girls our age that drive is super scary,1
"So now Thor is a women, captain America is now black, and iron man is now superior silver... #wheredidmychildhoodgo ? #…",1
"Call me sexist or whatever you wish, but for some reason i really hate when girls talk about football.",1
"I'm not sexist, but I can't work with 5 female managers at the same time anymore",1
Call me sexist but I refuse to watch a football game in which a woman referees. #ItsaMansSport #DUKEvsUNC #NoWomenExis…,1
Not sexist...But I cant have a woman discussing Rugby League. If its ladies Ruby League fine. Not PC so save any potent…,1
I will sock your mom in her fucking uterus if you ever talk to me like that again,1
"Call me sexist, but I wouldn't mind a stay at home wife. Don't need my kids being raised by someone other than family.",1
.@Pundit_AcadEMIC: #pleasedontshoot #handsup #MikeBrown #Ferguson #peace #janellemonae http://t.co/4Tp0AO6p8z,1
Lucky to come off that bus alive #womenbusdriverproblems #notsexist,1
"I'm not sexist, but I'm just not a fan of all these women rappers.",1
"I'm not sexist, but why are women so easily confused?! #BusinessMinded?! Wouldn't have thought so",1
Just because most men can take sexist remarks towards our gender doesn't mean they're not sexist. We just don't cry,1
"If MOST girls say ALL men are assholes, they're not sexist, but if MOST guys say MOST women can't drive, they're sexist.…",1
"""Type in ""feminism is"" on google, these should not be in the Autofill results http://t.co/K44FaGUI2t"" not sexist but i needed t…",1
Im not sexist but women shouldnt be allowed to drive.,1
"I'm not sexist, but I must admit the ""Women belong in the kitchen"" jokes were worth a chuckle.",1
I'm not sexist but a woman is trying to explain to me what happened during the fight last night. Idk wtf she's talking …,1
"I'm not sexist but most women comics suck. They aren't funny, period. Lisa Lampanelli, Amy Shumer and a couple others, don…",1
all woman short lists in parliament...really? if they were good enough they'd beat the men to the vote #NotSexist,1
Call me sexist but I won't watch OITNB cause all the main characters are women,1
"I'm not sexist, but I cannot picture Thor being anything else then the character HE is now.",1
Call me sexist but I just cannot stand female rappers......yuck. That voice though.....,1
Releasing private Sony e mails to hurt people is the same as releasing nude photos of Jennifer Lawrence. Why are they ok t…,1
Don't rape-zone me,1
"if you are a female, do not say bruh. it is not ""sexist"" but that shit is just unappealing.",1
"I'm not sexist but dammit, the best jokes are.",1
I'm not sexist or anything but I do not take female rappers seriously I would never buy a Nicky Minaj album or something.,1
"I'm not sexist but I truly believe that 9/10 women cannot drive idefk why the hell they can't, but they're deadly behi…",1
like they honestly know the most of any women at ESPN. They also just happen to be the sexiest,1
I swear I'm not sexist but get these ladies outta here when it comes to football,1
Call me sexist but am I the only person who doesn't find any female comedian funny in any way at all.,1
"Well I've had 2 spewers In my cab in 2 days, not sexist but both time girls, my guess they don't eat b4 they drink joys of a ca…",1
Call me sexist or whatever you'd like but I can not listen to a female calling or analyze a mens college basketball game.,1
I am not sexist... But I hate women announcers... They try to sound to analytical...,1
I don't want to listen to a girl announcer when I'm watching the Iowa game. #sorry #notsexist,1
I'm not sexist but a female can't do what a nigga do... In the end y'all gonna look like a hoe and a dude gonna look like…,1
I'm not sexist but women's sport on my sky sports news app or twitter feed boils my blood,1
I'm not sexist but I don't believe in equality.,1
"Women vocalists in rocks music... thoughts? Me personally prefer men singers, seem to have more passion #NotSexist",1
the majority [of bad drivers] are women right? #observation #notsexist,1
I'm not sexist but there's not a single women's sport I can stand to sit through,1
"I'm not sexist, when women do something notable besides give birth I'll give them the acknowledgement they deserve",1
I'm not sexist but after reading about new coloured parking bays that assist women park faster I thought.....! http://t…,1
Women should never participate in No Shave November. You should only have hair on your head.,1
